SVR,Gradient Boosting
Benadelungstechnik,neue Type
neue Type,EA WERK
Aktive Oberfläche-S,NA Arbeitsp. nadeln
EA WERK,SD Einsatzst.-bez.
SD Debitor,Akt. Status Type
AT1 Atrocross-ModNr.,AT1 Fäd.10 cm rechts
AT2 Atrocross-ModNr.,AT1 Fadenz.pro 10 cm
AT2 Fäd.10 cm rechts,AT2 Fäd.10 cm rechts
AT3 Fadenz.pro 10 cm,AT2 Werksversion
EA Charge,AT3 Atrocross-ModNr.
EA List-Code,AT3 Fäd.10 cm mitte
Filzklasse,AT3 Fäd.10 cm rechts
GG1 Gewebemodulnr.,AT3 Version
GG1 Kettversion,BM1 Modulnummer
GG2 Gew. Mod.W.Vers.,BM3 Modul Version
GG2 Kettversion,BM3 Modulnummer
NA Charge,BM4 Modul Version
NA Nadelteilung,EA Charge
NA Z-Status,GG1 Gew. Mod.W.Vers.
PF Monat 1.WE Prod.,GG2 Gew. Mod.W.Vers.
PF Monat WE Prod.,GG2 Kettversion
VA1 Gew. Modul Vers.,NA Nadelb. Komb. S3
VA1 Gewebemodulnr.,NA Sperrvermerk Mu.
VA2 Gew. Modul Vers.,PF Chargenstatus
VA3 Gew. Mod.W.Vers.,PF Jahr 1.WE Prod.
VC1 Vliesmodulnummer,PF Werk
VC2 Vliesmodulnummer,PF Z-Status
VC2 Vliesmodulvers.,Randbehandlung
VC3 Vliesmodulnummer,SD Kundenname
VR1 Auftragsnummer,Stücknummer_1
VR1 Mischungsnummer,VA1 Gew. Modul Vers.
VR1 Modulnummer,VA2 Gewebemodulnr.
VR2 Arbeitsplatz,VA3 Gew. Mod.W.Vers.
VR2 Auftragsnummer,VA3 Gewebemodulnr.
VR2 Versionsnummer,VA4 Gew. Mod.W.Vers.
VR2 Werk,VA4 Gew. Modul Vers.
VR2 Werkversion,VA4 Gewebemodulnr.
VR3 Werkversion,VC1 Vliesmodulvers.
VR4 Modulnummer,VC2 Vliesmodulnummer
EA WE Datum a. Prod.,VC2 Vliesmodulvers.
EA Letzte Änderung,VC3 Vliesmodulvers.
VR1 WE Produktion,VR1 Charge
VR2 WE Produktion,VR1 Werk
NA Einstiche pro cm2,VR1 Werkversion
SD Soll-Länge,VR2 Charge
Abw.LD.n.d.Nad. Soll,VR2 Chargenstatus
PF Dicke Typ.,VR2 Mischungsnummer
_= -6% _= 6%,VR2 Z-Status
_ 6% _= 11%,VR3 Versionsnummer
AT1 Basisbreite,VR3 Werkversion
AT3 Wickellänge,VR4 Versionsnummer
BM1 Breite,Belegmuster Datum
BM1 Länge Soll,PF WE aus Prod.
BM2 Stücklistenpos.,VR2 WE Produktion
BM3 Stücklistenpos.,NA Einstiche pro cm2
BM4 Länge,SD Soll-Breite
BM4 Stücklistenpos.,PF Flächengewicht
Dicke bei 100 bar,PF Flächengew. Type
EA Breite n. Fix. S,NA LD Typenstamm
EA Breite n. Schm.,NA Dicke
EA Dicke links Tex.,NA Dicke Soll
EA Fixiersp. Soll,Abw.LD.n.d.Nad. Soll
EA LD quer,_ -15%
EA LD rechts,_ -11% _= -15%
