SVR,Gradient Boosting
Stücknummer,EA Arbeitsplan
Oberflächenbehandlung,EA List-Code
Zweckbehandlung,EA Z-Status
neue Type,NA Z-Status
Auflage Gewicht sum.,Statistikgruppe
NA Arbeitsp. nadeln,VR2 Modulnummer
SD Debitor,_ -11% _= -15%
SD Maschinenbez.,BM2 Länge
Ak. Sperrvermerk Mu.,EA Fixiersp. Soll
Akt. Status Type,GG2 Stücklistenposition
AT1 Fadenz.pro 10 cm,LAB Softness l 1
AT1 Versionsnummer,NA Br. VR n. Vliesn.
AT2 Fadenz.pro 10 cm,NA Breite v. N. M20S
AT3 Fäd.10 cm rechts,PF Dicke VPE
AT3 Fäd.30 cm links,VA2 Breite n.Vorf.S
BM1 Modul Version,VR3 Breite
EA Charge,
GG1 Gew. Mod.W.Vers.,
GG1 Gewebemodulnr.,
GG1 Kettversion,
GG2 Gew. Modul Vers.,
NA Charge,
NA List-Code,
NA Werk,
PF Arbeitplatz,
PF KW 1.WE Prod.,
PF List-Code,
PF Z-Status,
Produktgruppe Fertigung,
SD Einsatzstelle,
SD Maschine,
SD VK-Auftrag Pos.,
Stücknummer_1,
VA1 Gew. Mod.W.Vers.,
VA3 Gewebemodulnr.,
VA4 Gew. Modul Vers.,
VC1 Vliesmodulvers.,
VC1 Werkversion,
VC2 Werkversion,
VR1 List-Code,
VR1 Modulnummer,
VR1 Werk,
VR2 Charge,
VR2 Chargenstatus,
VR2 Versionsnummer,
VR2 Werkversion,
PF Erstes WE-Datum,
PF WE aus Prod.,
VR1 Letzte Änderung,
VR2 Letzte Änderung,
PF Flächengewicht,
NA LD,
NA LD Typenstamm,
NA Dicke Soll,
PF Dicke Typ.,
_ -15%,
_ -11% _= -15%,
_= -6% _= 6%,
_ 11% _= 15%,
Abw. Gewicht Muster,
Aktive Oberfläche,
AT1 Basisbreite,
AT1 Wickellänge,
AT2 Basisbreite,
AT3 Basisbreite,
AT3 Wickellänge,
BM1 Breite,
BM1 Stücklistenpos.,
BM2 Länge,
BM3 Breite,
BM4 Breite Soll,
BM4 Länge,
Dicke bei 100 bar,
Dicke bei 140 bar,
Dicke bei 20 bar,
EA Abw Br n d Sch Soll,
EA Abw Länge Soll,
EA Abw LD Textest,
EA Dicke links Tex.,
EA Dicke quer Tex.,
EA Fixiersp. Soll,
EA Fixierspannung,
EA Länge n. Fix. S,
EA LD quer,
Filznote,
Fläche Probe,
GG1 Ges. o. Leiste,
GG1 Rietbteite Soll,
GG2 Rietbteite Soll,
GG2 Stücklistenposition,
GG2 Weblänge CIR,
LAB Bezugsdeh. q GW,
LAB DickeFV,
LAB M-Fmax,
LAB Vliesanteil PS %,
LAB Vliesanteil WS %,
NA Anz fehl. Ösen,
NA Breite v. N. M10,
NA Breite v. N. M30S,
NA Breite v. N. M40,
NA Gewicht n.Nad.S,
NA Länge v. Nadeln20,
NA Länge vor NadelnS,
NA Max. Spannung KN,
NA Trägergew.v.Nad.,
NA Trägergew.vN Soll,
PF Breite Endkontr.,
PF Dicke,
PF Dicke VPE,
PF Durchm. Stahlsp.,
PF Flächengew. VPE,
PF Länge Endkontr.,
PF LD Endkontrolle,
PF n. fehlende Ösen,
PF Steckdr.Anz.Fäd.,
PF-VC2 Flächengewicht Soll,
PF-VR1 Flächengewicht Soll,
PF-VR2 Flächengewicht Soll,
PF-VR3 Flächengewicht Soll,
PTI Breite,
PTI Flächengewicht,
Trennfestigk G-G,
VA1 Breite n.Vorfix.,
VA1 Länge n.Vorfix.,
VA1 Länge vor Vorfixieren Soll,
VA1 Vorfixierspann.,
VA2 Breite n.Vorf.S,
VA2 Länge vor Vorfixieren Soll,
VA3 Breite v.Vorfix.,
VA3 Vorfixierspann.,
VA4 Breite n.Vorfix.,
VA4 Stücklistenpos.,
VA4 Vorfixierspann.,
Var Bezugsd quer,
Var Höchstzk längs,
Var HöchstzkD längs,
VC1 Breite Vliesr.,
VC1 Gewicht Vliesr.,
VC1 Legebreite,
VC3 Legebreite,
Vlies PS,
VR1 Breite,
VR1 Flächengewicht,
VR1 Länge,
VR1 Stücklistenpos.,
VR2 Breite,
VR3 Breite,
VR4 Legebreite,
ID,
WEAR,
