SVR,Gradient Boosting
Stücknummer,Aktive Oberfläche-S
Oberflächenbehandlung,BM3 Modul Version
Zweckbehandlung,NA List-Code
EA WERK,PF Monat WE Prod.
NA Arbeitsp. nadeln,VA1 Gew. Modul Vers.
SD Debitor,VR4 Modulnummer
SD Suchbegriff 1 K.,SD Soll-Breite
SD Einsatzst.-bez.,Abw.LD.n.d.Nad. Soll
AT1 Fäd.10 cm links,Abw LD z Sollwert
AT1 Fäd.10 cm mitte,_= -6% _= 6%
AT2 Atrocross-ModNr.,BM1 Breite
AT2 Fäd.20 cm links,BM4 Breite
AT2 Versionsnummer,Di. EA Textest
AT2 Werksversion,EA Verzug Laufstr.
AT3 Fäd.10 cm mitte,GG2 Rietbteite
AT3 Fäd.10 cm rechts,NA LD VPE
AT3 Werksversion,PF Bondingnaht wellig
BM1 Modul Version,PF-VR1 Flächengewicht Soll
BM1 Modulnummer,VA1 Breite n.Vorf.S
BM2 Modul Version,VA1 Breite v.Vorf.S
BM2 Modulnummer,VA4 Vorfixierspann.
BM4 Modul Version,Var HöchstzkD quer
BM4 Modulnummer,VR2 Flächengewicht
EA Chargen Status,VR3 Legebreite
GG1 Gewebemodulnr.,
GG1 Kettversion,
GG2 Gew. Mod.W.Vers.,
GG2 Gew. Modul Vers.,
NA Auftragsnummer,
NA Nadelteilung,
NA Sperrvermerk Mu.,
NA Werk,
Naht,
PF Arbeitplatz,
PF Auftragsnummer,
PF Jahr WE Prod.,
PF KW 1.WE Prod.,
PF List-Code,
PF Monat 1.WE Prod.,
PF Monat WE Prod.,
PF Z-Status,
Randbehandlung,
SD Einsatzstelle,
SD Kundenname,
SD Maschine,
SD Vertriebsbeleg,
Statistikgruppe,
Stücknummer_1,
VA3 Gew. Mod.W.Vers.,
VA3 Gew. Modul Vers.,
VA3 Gewebemodulnr.,
VA4 Gew. Mod.W.Vers.,
VC1 Vliesmodulnummer,
VC1 Werkversion,
VC2 Vliesmodulnummer,
VC2 Vliesmodulvers.,
VC2 Werkversion,
VC3 Vliesmodulnummer,
VC3 Vliesmodulvers.,
VC3 Werkversion,
VR1 Auftragsnummer,
VR1 Charge,
VR1 Chargenstatus,
VR1 Modulnummer,
VR1 Werk,
VR2 Arbeitsplatz,
VR2 Charge,
VR2 Chargenstatus,
VR2 Modulnummer,
VR2 Werkversion,
VR3 Modulnummer,
VR3 Versionsnummer,
VR4 Modulnummer,
FELT_NUMBER,
NA WE Produktion,
EA Letzte Änderung,
NA Letzte Änderung,
PF Erstes WE-Datum,
VR1 Letzte Änderung,
VR2 Letzte Änderung,
REMOVAL_DATE,
NA Einstiche pro cm2,
Auflage Gewicht,
SD Soll-Länge,
PF Flächengewicht,
PF Flächengew. Type,
NA Dicke,
Abw.LD.n.d.Nad. Soll,
PF Dicke Typ.,
_ -11% _= -15%,
_= -6% _= 6%,
_ 6% _= 11%,
Abrieb WS,
Abw. Gewicht Muster,
Aktive Oberfläche,
AT1 Basisbreite,
AT1 Wickellänge,
AT2 Wickellänge,
AT3 Basisbreite,
AT3 Breite n d Wick.,
AT3 Wickellänge,
